R_fighter,B_fighter,date,location,Winner,title_bout,weight_class,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO_TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO_TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Derrick Lewis,Marcin Tybura,2018-02-18,"Austin, Texas, USA",Red,0,Heavyweight,0,0,1,3,2,0,0,0,1,2,0,0,Orthodox,190.5,198.12,249,0,2,0,9,3,0,0,1,0,8,0,0,Orthodox,190.5,200.66,260,32,33
Thiago Alves,Curtis Millender,2018-02-18,"Austin, Texas, USA",Blue,0,Welterweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,170,1,0,1,14,8,0,0,0,5,7,1,1,Orthodox,175.26,177.8,170,30,34
Jared Gordon,Diego Ferreira,2018-02-18,"Austin, Texas, USA",Blue,0,Lightweight,0,2,0,3,2,0,0,0,1,1,1,0,Orthodox,175.26,187.96,155,0,2,0,2,0,0,0,0,1,1,0,0,Orthodox,175.26,172.72,145,33,29
Sage Northcutt,Thibault Gouti,2018-02-18,"Austin, Texas, USA",Red,0,Lightweight,0,0,3,1,3,0,0,0,0,1,0,0,Orthodox,177.8,182.88,155,0,2,0,4,2,0,0,0,2,1,1,0,Orthodox,182.88,180.34,170,30,21
James Vick,Francisco Trinaldo,2018-02-18,"Austin, Texas, USA",Red,0,Lightweight,0,1,0,12,4,0,0,1,6,2,2,1,Southpaw,175.26,177.8,155,0,5,0,8,1,0,0,0,3,2,3,0,Orthodox,190.5,193.04,155,39,30
Donald Cerrone,Yancy Medeiros,2018-02-18,"Austin, Texas, USA",Red,0,Welterweight,0,0,3,6,5,0,0,1,0,2,3,0,Orthodox,177.8,190.5,155,1,4,0,19,7,0,0,0,6,8,5,0,Orthodox,185.42,185.42000000000002,155,30,34
Oskar Piechota,Tim Williams,2018-02-18,"Austin, Texas, USA",Red,0,Middleweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,185,0,1,0,1,0,0,0,0,1,0,0,0,Southpaw,182.88,193.04,185,31,28
Robert Sanchez,Joby Sanchez,2018-02-18,"Austin, Texas, USA",Red,0,Flyweight,0,0,1,1,2,0,0,1,0,0,0,0,Orthodox,167.64000000000001,172.72,135,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,167.64000000000001,167.64000000000001,125,26,31
Joshua Burkman,Alex Morono,2018-02-18,"Austin, Texas, USA",Blue,0,Welterweight,0,2,0,2,2,0,0,1,1,0,0,0,Orthodox,180.34,182.88,170,0,2,0,6,12,0,0,1,3,1,1,0,Orthodox,177.8,182.88,170,27,37
Sarah Moras,Lucie Pudilova,2018-02-18,"Austin, Texas, USA",Blue,0,WomenBantamweight,0,0,1,1,1,0,0,0,1,0,0,0,Orthodox,172.72,170.18,125,0,1,0,2,1,0,0,0,1,0,1,0,Orthodox,170.18,170.18,135,23,29
Alexander Volkanovski,Jeremy Kennedy,2018-02-10,"Perth, Western Australia, Australia",Red,0,Featherweight,0,3,0,3,0,0,0,0,3,0,0,0,Orthodox,180.34,180.34,145,0,3,0,3,0,0,0,0,2,1,0,0,Orthodox,167.64000000000001,180.34,145,25,29
Rob Wilkinson,Israel Adesanya,2018-02-10,"Perth, Western Australia, Australia",Blue,0,Middleweight,0,0,0,0,0,0,0,0,0,0,0,0,Switch,193.04,203.2,185,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,190.5,203.2,185,28,25
Mark Hunt,Curtis Blaydes,2018-02-10,"Perth, Western Australia, Australia",Blue,0,Heavyweight,0,0,1,3,2,0,0,0,1,1,0,1,Orthodox,193.04,203.2,265,1,0,1,8,7,0,0,0,1,7,0,0,Orthodox,177.8,182.88,265,26,43
Tyson Pedro,Saparbeg Safarov,2018-02-10,"Perth, Western Australia, Australia",Red,0,LightHeavyweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,185.42,198.12,185,0,2,0,2,1,0,0,0,0,1,1,0,Orthodox,190.5,200.66,205,31,26
Damien Brown,Dong Hyun Ma,2018-02-10,"Perth, Western Australia, Australia",Blue,0,Lightweight,0,0,2,2,2,0,0,0,1,1,0,0,Orthodox,180.34,177.8,155,0,0,1,2,3,0,0,1,0,1,0,0,Orthodox,177.8,172.72,155,29,33
Tai Tuivasa,Cyril Asker,2018-02-10,"Perth, Western Australia, Australia",Red,0,Heavyweight,0,0,1,2,2,0,0,0,0,1,1,0,Orthodox,182.88,187.96,247,0,1,0,1,0,0,0,0,0,1,0,0,Southpaw,187.96,190.5,264,32,24
Yoel Romero,Luke Rockhold,2018-02-10,"Perth, Western Australia, Australia",Red,1,Middleweight,2,0,1,6,2,0,0,0,0,3,3,0,Southpaw,190.5,195.58,205,1,8,0,8,1,0,0,1,1,6,0,0,Southpaw,182.88,185.42000000000002,185,33,40
Jake Matthews,Li Jingliang,2018-02-10,"Perth, Western Australia, Australia",Red,0,Welterweight,0,1,0,6,2,0,0,1,1,4,0,0,Orthodox,182.88,180.34,170,0,2,0,5,3,0,0,1,0,0,3,1,Orthodox,180.34,185.42000000000002,170,29,23
Luke Jumeau,Daichi Abe,2018-02-10,"Perth, Western Australia, Australia",Red,0,Welterweight,0,1,0,1,0,0,0,0,1,0,0,0,Orthodox,180.34,180.34,170,0,1,0,1,1,0,0,0,1,0,0,0,Orthodox,180.34,182.88,170,26,29
Ross Pearson,Mizuto Hirota,2018-02-10,"Perth, Western Australia, Australia",Red,0,Lightweight,0,0,3,1,4,0,0,0,1,0,0,0,Orthodox,170.18,170.18,155,1,3,0,11,12,0,0,2,4,4,0,1,Orthodox,172.72,175.26,155,36,33
Teruto Ishihara,Jose Quinonez,2018-02-10,"Perth, Western Australia, Australia",Blue,0,Bantamweight,1,0,1,3,1,0,0,0,2,0,1,0,Southpaw,172.72,175.26,135,0,0,1,3,3,0,0,0,1,2,0,0,Southpaw,170.18,175.26,135,27,26
Jussier Formiga,Ben Nguyen,2018-02-10,"Perth, Western Australia, Australia",Red,0,Flyweight,0,2,0,4,1,0,0,0,1,1,2,0,Switch,165.1,165.1,125,0,0,1,6,4,0,0,0,4,0,2,0,Orthodox,165.1,170.18,125,29,32
Timothy Johnson,Marcelo Golm,2018-02-03,"Belem, Para, Brazil",Red,0,Heavyweight,0,1,0,1,0,0,0,0,0,0,1,0,Orthodox,190.5,190.5,249,0,1,0,3,3,0,0,1,1,1,0,0,Southpaw,190.5,195.58,265,25,32
Michel Prazeres,Desmond Green,2018-02-03,"Belem, Para, Brazil",Red,0,Lightweight,0,1,0,1,1,0,0,1,0,0,0,0,Southpaw,177.8,185.42000000000002,155,0,0,1,7,2,0,0,2,3,0,2,0,Orthodox,167.64000000000001,170.18,170,28,36
Thiago Santos,Anthony Smith,2018-02-03,"Belem, Para, Brazil",Red,0,Middleweight,0,0,1,4,2,0,0,0,1,3,0,0,Orthodox,193.04,193.04,205,0,0,1,8,4,0,0,0,1,7,0,0,Orthodox,187.96,193.04,205,29,34
Valentina Shevchenko,Priscila Cachoeira,2018-02-03,"Belem, Para, Brazil",Red,0,WomenFlyweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,1,0,3,2,0,0,1,1,0,1,0,Southpaw,165.1,167.64000000000001,125,29,29
Sergio Moraes,Tim Means,2018-02-03,"Belem, Para, Brazil",Red,0,Welterweight,0,2,0,9,7,0,0,1,3,4,1,0,Orthodox,187.96,190.5,170,1,0,1,6,3,0,0,1,2,1,2,0,Orthodox,182.88,182.88,170,33,35
Douglas Silva de Andrade,Marlon Vera,2018-02-03,"Belem, Para, Brazil",Red,0,Bantamweight,0,0,1,4,3,0,0,0,1,1,2,0,Switch,172.72,177.8,135,0,0,1,2,2,0,0,0,1,1,0,0,Orthodox,170.18,172.72,145,25,32
Alan Patrick,Damir Hadzovic,2018-02-03,"Belem, Para, Brazil",Red,0,Lightweight,0,0,1,1,1,0,0,0,0,1,0,0,Orthodox,175.26,177.8,155,0,2,0,4,1,0,0,0,3,1,0,0,Southpaw,180.34,187.96,155,31,34
Lyoto Machida,Eryk Anders,2018-02-03,"Belem, Para, Brazil",Red,0,Middleweight,0,2,0,2,0,0,0,0,1,1,0,0,Southpaw,185.42,190.5,185,5,8,0,14,8,0,0,1,6,6,1,0,Southpaw,185.42,187.96,185,30,39
Maia Stevenson,Polyana Viana,2018-02-03,"Belem, Para, Brazil",Blue,0,WomenStrawweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,115,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,115,25,35
Iuri Alcantara,Joe Soto,2018-02-03,"Belem, Para, Brazil",Red,0,Bantamweight,1,0,3,3,4,0,0,0,1,0,2,0,Orthodox,167.64000000000001,165.1,135,0,2,0,9,7,0,0,1,4,2,2,0,Southpaw,175.26,180.34,135,30,37
Deiveson Figueiredo,Joseph Morales,2018-02-03,"Belem, Para, Brazil",Red,0,Flyweight,0,1,0,1,0,0,0,0,0,0,1,0,Switch,167.64000000000001,175.26,125,0,2,0,2,0,0,0,1,0,1,0,0,Orthodox,165.1,172.72,125,23,30
Jordan Rinaldi,Gregor Gillespie,2018-01-27,"Charlotte, North Carolina, USA",Blue,0,Lightweight,0,3,0,3,0,0,0,0,1,1,1,0,Orthodox,170.18,180.34,155,0,0,1,1,1,0,0,0,0,0,1,0,Orthodox,177.8,182.88,145,31,30
Jacare Souza,Derek Brunson,2018-01-27,"Charlotte, North Carolina, USA",Red,0,Middleweight,0,2,0,9,3,0,0,0,2,6,1,0,Southpaw,185.42,195.58,185,0,5,0,7,2,0,0,0,1,2,4,0,Orthodox,185.42,182.88,185,34,38
Mirsad Bektic,Godofredo Pepey,2018-01-27,"Charlotte, North Carolina, USA",Red,0,Featherweight,1,0,1,5,5,0,0,1,0,1,3,0,Orthodox,170.18,185.42000000000002,145,0,4,0,4,1,0,1,0,1,1,1,0,Orthodox,172.72,177.8,145,30,26
Dennis Bermudez,Andre Fili,2018-01-27,"Charlotte, North Carolina, USA",Blue,0,Featherweight,0,1,0,5,4,0,0,0,3,2,0,0,Orthodox,180.34,187.96,145,1,0,1,9,5,0,0,2,4,1,2,0,Orthodox,167.64000000000001,167.64000000000001,155,27,31
Katlyn Chookagian,Mara Romero Borella,2018-01-27,"Charlotte, North Carolina, USA",Red,0,WomenFlyweight,0,1,0,1,0,0,0,0,0,0,1,0,Orthodox,167.64000000000001,175.26,125,0,1,0,2,1,0,0,1,1,0,0,0,Orthodox,175.26,172.72,125,31,29
Drew Dober,Frank Camacho,2018-01-27,"Charlotte, North Carolina, USA",Red,0,Welterweight,0,0,1,1,1,0,0,1,0,0,0,0,Orthodox,177.8,185.42000000000002,170,0,0,2,4,5,0,0,0,1,2,1,0,Southpaw,172.72,177.8,155,28,29
Randa Markos,Juliana Lima,2018-01-27,"Charlotte, North Carolina, USA",Red,0,WomenStrawweight,0,0,1,3,3,0,0,0,3,0,0,0,Orthodox,165.1,165.1,115,0,0,1,3,4,0,0,1,2,0,0,0,Orthodox,162.56,160.02,115,35,32
Erik Koch,Bobby Green,2018-01-27,"Charlotte, North Carolina, USA",Blue,0,Lightweight,0,4,0,4,4,0,0,1,1,1,1,0,Orthodox,177.8,180.34,155,0,2,0,4,4,0,0,0,1,2,1,0,Southpaw,177.8,180.34,170,31,29
Niko Price,George Sullivan,2018-01-27,"Charlotte, North Carolina, USA",Red,0,Welterweight,0,2,0,3,2,0,0,0,2,1,0,0,Orthodox,182.88,185.42000000000002,170,0,1,0,2,2,0,0,0,0,1,1,0,Orthodox,182.88,193.04,170,36,28
Vinc Pichel,Joaquim Silva,2018-01-27,"Charlotte, North Carolina, USA",Red,0,Lightweight,0,3,0,3,0,0,0,2,0,1,0,0,Southpaw,172.72,175.26,155,0,0,1,3,1,0,0,0,2,1,0,0,Orthodox,177.8,182.88,155,28,35
Justine Kish,Ji Yeon Kim,2018-01-27,"Charlotte, North Carolina, USA",Blue,0,WomenFlyweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,170.18,182.88,125,0,2,0,2,1,0,0,0,2,0,0,0,Orthodox,165.1,162.56,125,28,29
Austin Arnett,Cory Sandhagen,2018-01-27,"Charlotte, North Carolina, USA",Blue,0,Featherweight,0,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,177.8,135,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,25,26
Gian Villante,Francimar Barroso,2018-01-20,"Boston, Massachusetts, USA",Red,0,LightHeavyweight,0,1,0,4,4,0,0,0,4,0,0,0,Orthodox,185.42,190.5,205,0,0,1,5,6,0,0,1,0,4,0,0,Orthodox,190.5,193.04,230,37,32
Calvin Kattar,Shane Burgos,2018-01-20,"Boston, Massachusetts, USA",Red,0,Featherweight,0,3,0,3,0,0,0,0,2,1,0,0,Orthodox,180.34,190.5,145,0,1,0,1,0,0,0,0,1,0,0,0,Orthodox,180.34,182.88,145,26,29
Stipe Miocic,Francis Ngannou,2018-01-20,"Boston, Massachusetts, USA",Red,1,Heavyweight,0,6,0,6,0,0,0,0,0,4,1,1,Orthodox,193.04,210.82,250,3,3,0,11,2,0,0,0,3,8,0,0,Orthodox,193.04,203.2,240,31,35
Dustin Ortiz,Alexandre Pantoja,2018-01-20,"Boston, Massachusetts, USA",Red,0,Flyweight,0,2,0,2,0,0,0,1,0,0,1,0,Orthodox,165.1,170.18,125,0,1,0,6,5,0,0,3,0,3,0,0,Orthodox,165.1,165.1,125,27,29
Daniel Cormier,Volkan Oezdemir,2018-01-20,"Boston, Massachusetts, USA",Red,1,LightHeavyweight,0,3,0,3,0,0,0,1,0,2,0,0,Orthodox,187.96,190.5,205,5,4,0,8,2,0,0,1,3,1,3,0,Orthodox,180.34,182.88,235,28,38
Thomas Almeida,Rob Font,2018-01-20,"Boston, Massachusetts, USA",Blue,0,Bantamweight,0,2,0,4,2,0,0,0,0,3,1,0,Orthodox,172.72,180.34,135,0,4,0,5,2,0,0,0,1,4,0,0,Southpaw,170.18,177.8,145,30,26
Kyle Bochniak,Brandon Davis,2018-01-20,"Boston, Massachusetts, USA",Red,0,Featherweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,135,0,0,1,1,2,0,0,1,0,0,0,0,Orthodox,170.18,177.8,145,27,30
Sabah Homasi,Abdul Razak Alhassan,2018-01-20,"Boston, Massachusetts, USA",Blue,0,Welterweight,0,1,0,2,1,0,0,0,0,2,0,0,Orthodox,177.8,185.42000000000002,170,0,0,2,0,2,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,32,29
Matt Bessette,Enrique Barzola,2018-01-20,"Boston, Massachusetts, USA",Blue,0,Featherweight,1,1,0,3,1,0,0,0,3,0,0,0,Orthodox,170.18,177.8,145,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,28,33
Dan Ige,Julio Arce,2018-01-20,"Boston, Massachusetts, USA",Blue,0,Featherweight,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,177.8,145,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,145,28,26
Islam Makhachev,Gleison Tibau,2018-01-20,"Boston, Massachusetts, USA",Red,0,Lightweight,0,0,1,16,10,0,0,5,6,1,4,0,Southpaw,177.8,180.34,155,0,1,0,3,1,0,0,0,2,0,1,0,Southpaw,177.8,177.8,155,34,26
Matt Frevola,Marco Polo Reyes,2018-01-14,"St. Louis, Missouri, USA",Blue,0,Lightweight,0,3,0,3,1,0,0,1,0,2,0,0,Orthodox,180.34,180.34,155,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,33,27
Kyung Ho Kang,Guido Cannetti,2018-01-14,"St. Louis, Missouri, USA",Red,0,Bantamweight,0,0,1,1,1,0,0,0,1,0,0,0,Southpaw,167.64000000000001,172.72,135,0,0,2,2,2,0,0,1,0,0,1,0,Orthodox,175.26,185.42000000000002,135,38,30
James Krause,Alex White,2018-01-14,"St. Louis, Missouri, USA",Red,0,Lightweight,0,1,0,3,3,0,0,0,1,2,0,0,Southpaw,182.88,180.34,155,0,1,0,5,3,0,0,0,2,1,2,0,Orthodox,187.96,185.42000000000002,170,29,31
Darren Elkins,Michael Johnson,2018-01-14,"St. Louis, Missouri, USA",Red,0,Featherweight,1,0,1,9,8,0,0,0,5,4,0,0,Southpaw,177.8,185.42000000000002,155,0,1,0,13,4,0,0,2,8,3,0,0,Orthodox,177.8,180.34,145,31,33
Kamaru Usman,Emil Meek,2018-01-14,"St. Louis, Missouri, USA",Red,0,Welterweight,0,1,0,1,0,0,0,0,1,0,0,0,Switch,180.34,187.96,170,1,6,0,6,0,0,0,0,4,1,1,0,Switch,182.88,193.04,170,29,30
Jeremy Stephens,Dooho Choi,2018-01-14,"St. Louis, Missouri, USA",Red,0,Featherweight,0,3,0,3,1,0,0,0,0,3,0,0,Orthodox,177.8,177.8,145,0,0,1,13,13,0,0,1,6,5,0,1,Orthodox,175.26,180.34,145,26,31
Paige VanZant,Jessica-Rose Clark,2018-01-14,"St. Louis, Missouri, USA",Blue,0,WomenFlyweight,0,1,0,1,0,0,0,1,0,0,0,0,Orthodox,165.1,162.56,125,0,3,0,4,2,0,0,0,1,2,1,0,Orthodox,162.56,165.1,115,30,23
Talita Bernardo,Irene Aldana,2018-01-14,"St. Louis, Missouri, USA",Blue,0,WomenBantamweight,0,0,2,0,2,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,162.56,172.72,135,29,30
Mads Burnell,Mike Santiago,2018-01-14,"St. Louis, Missouri, USA",Red,0,Featherweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,177.8,175.26,145,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,28,23
Danielle Taylor,JJ Aldrich,2018-01-14,"St. Louis, Missouri, USA",Blue,0,WomenStrawweight,0,0,1,1,1,0,0,0,1,0,0,0,Southpaw,165.1,170.18,125,0,0,1,2,1,0,0,1,1,0,0,0,Orthodox,152.4,152.4,115,25,28
Kalindra Faria,Jessica Eye,2018-01-14,"St. Louis, Missouri, USA",Blue,0,WomenFlyweight,0,0,2,1,6,0,0,0,0,0,0,1,Orthodox,167.64000000000001,167.64000000000001,125,0,0,1,0,1,0,0,0,0,0,0,0,Switch,170.18,,125,31,31
Khabib Nurmagomedov,Edson Barboza,2017-12-30,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,4,0,13,4,0,1,1,5,6,0,0,Orthodox,180.34,190.5,145,0,8,0,8,0,0,0,0,4,2,2,0,Orthodox,177.8,177.8,155,31,29
Cristiane Justino,Holly Holm,2017-12-30,"Las Vegas, Nevada, USA",Red,1,WomenFeatherweight,3,3,0,4,3,0,0,1,1,2,0,0,Southpaw,172.72,175.26,135,1,3,0,3,0,0,0,0,0,3,0,0,Orthodox,172.72,172.72,145,36,32
Dan Hooker,Marc Diakiese,2017-12-30,"Las Vegas, Nevada, USA",Red,0,Lightweight,0,3,0,3,1,0,0,0,1,2,0,0,Orthodox,177.8,185.42000000000002,155,0,1,0,4,3,0,0,0,0,3,1,0,Switch,182.88,190.5,155,24,27
Marvin Vettori,Omari Akhmedov,2017-12-30,"Las Vegas, Nevada, USA",Draw,0,Middleweight,0,1,0,5,3,0,0,1,2,2,0,0,Orthodox,182.88,185.42000000000002,185,0,1,0,2,1,0,0,0,1,0,1,0,Southpaw,182.88,187.96,185,30,24
Cynthia Calvillo,Carla Esparza,2017-12-30,"Las Vegas, Nevada, USA",Blue,0,WomenStrawweight,2,1,0,3,2,0,0,0,2,0,1,0,Orthodox,154.94,160.02,115,0,3,0,3,0,0,0,0,1,0,2,0,Orthodox,162.56,162.56,125,30,30
Myles Jury,Rick Glenn,2017-12-30,"Las Vegas, Nevada, USA",Red,0,Featherweight,0,0,1,2,1,0,0,1,1,0,0,0,Southpaw,182.88,177.8,145,0,6,0,7,2,0,0,1,2,3,1,0,Orthodox,177.8,185.42000000000002,145,28,29
Khalil Rountree Jr.,Michal Oleksiejczuk,2017-12-30,"Las Vegas, Nevada, USA",Draw,0,LightHeavyweight,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,205,1,0,2,2,2,0,0,0,0,2,0,0,Southpaw,185.42,193.04,205,22,27
Carlos Condit,Neil Magny,2017-12-30,"Las Vegas, Nevada, USA",Blue,0,Welterweight,0,1,0,12,5,0,0,1,6,4,1,0,Orthodox,190.5,203.2,170,3,0,1,7,6,0,0,1,1,4,0,1,Orthodox,187.96,190.5,170,30,33
Louis Smolka,Matheus Nicolau,2017-12-30,"Las Vegas, Nevada, USA",Blue,0,Flyweight,0,2,0,2,0,0,0,1,0,0,1,0,Orthodox,167.64000000000001,167.64000000000001,125,0,1,0,5,4,0,0,0,2,2,1,0,Orthodox,175.26,172.72,135,24,26
Tim Elliott,Mark De La Rosa,2017-12-30,"Las Vegas, Nevada, USA",Red,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64000000000001,165.1,135,1,0,1,3,6,0,0,0,3,0,0,0,Southpaw,170.18,167.64000000000001,125,23,31
Julian Marquez,Darren Stewart,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,Middleweight,0,0,3,0,3,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,182.88,185,26,27
Ricardo Lamas,Josh Emmett,2017-12-16,"Winnipeg, Manitoba, Canada",Blue,0,Featherweight,0,2,0,3,1,0,0,1,2,0,0,0,Orthodox,167.64000000000001,177.8,145,1,4,0,9,3,0,0,0,3,3,3,0,Orthodox,172.72,180.34,145,32,35
Glover Teixeira,Misha Cirkunov,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,LightHeavyweight,0,4,0,4,1,0,0,0,0,1,3,0,Orthodox,190.5,195.58,205,1,5,0,9,4,0,0,0,2,3,3,1,Orthodox,187.96,193.04,205,30,38
Chad Laprise,Galore Bofando,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,Welterweight,0,1,0,1,0,0,0,0,0,1,0,0,Switch,180.34,182.88,170,1,3,0,5,2,0,0,1,2,2,0,0,Orthodox,177.8,180.34,170,35,31
Robbie Lawler,Rafael Dos Anjos,2017-12-16,"Winnipeg, Manitoba, Canada",Blue,0,Welterweight,3,0,2,16,7,0,0,0,9,4,3,0,Southpaw,172.72,177.8,155,5,3,0,13,5,0,0,3,4,6,0,0,Southpaw,180.34,187.96,170,33,35
Nordine Taleb,Danny Roberts,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,Welterweight,0,2,0,3,1,0,0,0,1,1,1,0,Southpaw,185.42,187.96,170,0,3,0,5,2,0,0,1,3,1,0,0,Orthodox,185.42,187.96,170,30,36
Jared Cannonier,Jan Blachowicz,2017-12-16,"Winnipeg, Manitoba, Canada",Blue,0,LightHeavyweight,0,1,0,3,4,0,0,0,1,1,1,0,Orthodox,187.96,198.12,205,0,0,1,3,2,0,0,0,1,2,0,0,Switch,180.34,195.58,185,34,33
Santiago Ponzinibbio,Mike Perry,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,Welterweight,0,2,0,4,1,0,0,0,0,4,0,0,Orthodox,177.8,180.34,170,0,0,1,7,2,0,0,0,3,4,0,0,Orthodox,182.88,185.42000000000002,170,26,31
Alessio Di Chirico,Oluwale Bamgbose,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,Middleweight,0,0,1,1,3,0,0,0,0,1,0,0,Switch,180.34,198.12,185,0,0,1,1,2,0,0,1,0,0,0,0,Orthodox,182.88,187.96,185,30,28
John Makdessi,Abel Trujillo,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,Lightweight,0,1,0,6,4,0,0,0,1,3,1,0,Orthodox,172.72,177.8,155,0,2,0,7,6,0,0,1,3,3,0,0,Orthodox,172.72,172.72,155,34,32
Jordan Mein,Erick Silva,2017-12-16,"Winnipeg, Manitoba, Canada",Red,0,Welterweight,0,1,0,7,7,0,0,0,0,2,5,0,Orthodox,182.88,187.96,170,0,1,0,3,4,0,0,1,0,2,0,0,Orthodox,182.88,185.42000000000002,170,33,28
Luke Sanders,Andre Soukhamthath,2017-12-09,"Fresno, California, USA",Blue,0,Bantamweight,0,0,2,0,2,0,0,0,0,0,0,0,Orthodox,175.26,177.8,135,0,1,0,1,1,0,0,0,0,0,1,0,Southpaw,167.64000000000001,170.18,135,29,31
Eryk Anders,Markus Perez,2017-12-09,"Fresno, California, USA",Red,0,Middleweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42000000000002,185,0,1,0,1,0,0,0,0,0,1,0,0,Southpaw,185.42,190.5,185,29,30
Jason Knight,Gabriel Benitez,2017-12-09,"Fresno, California, USA",Blue,0,Featherweight,0,2,0,3,2,0,0,0,1,0,2,0,Southpaw,172.72,180.34,155,0,0,1,4,2,0,0,1,1,1,1,0,Orthodox,177.8,180.34,145,29,25
Albert Morales,Benito Lopez,2017-12-09,"Fresno, California, USA",Blue,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Switch,177.8,185.42000000000002,135,0,0,2,1,3,0,0,1,0,0,0,0,Orthodox,175.26,182.88,135,23,26
Scott Holtzman,Darrell Horcher,2017-12-09,"Fresno, California, USA",Red,0,Lightweight,0,0,1,1,1,0,0,1,0,0,0,0,Southpaw,177.8,177.8,155,0,1,0,3,2,0,0,0,2,0,1,0,Orthodox,175.26,175.26,155,30,34
Marlon Moraes,Aljamain Sterling,2017-12-09,"Fresno, California, USA",Red,0,Bantamweight,0,4,0,6,2,0,0,0,3,1,2,0,Orthodox,170.18,180.34,135,0,0,1,1,1,0,0,1,0,0,0,0,Orthodox,167.64000000000001,170.18,135,28,29
Cub Swanson,Brian Ortega,2017-12-09,"Fresno, California, USA",Blue,0,Featherweight,0,0,1,4,1,0,0,0,0,2,2,0,Switch,172.72,175.26,145,0,0,1,10,3,0,0,0,6,4,0,0,Orthodox,172.72,177.8,145,26,34
Alexis Davis,Liz Carmouche,2017-12-09,"Fresno, California, USA",Red,0,WomenFlyweight,1,0,1,3,3,0,0,1,1,1,0,0,Orthodox,167.64000000000001,167.64000000000001,125,1,3,0,5,2,0,0,1,3,0,1,0,Orthodox,167.64000000000001,172.72,135,33,33
Frankie Saenz,Merab Dvalishvili,2017-12-09,"Fresno, California, USA",Red,0,Bantamweight,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64000000000001,172.72,135,0,3,0,3,3,0,0,1,2,0,0,0,Orthodox,167.64000000000001,167.64000000000001,135,26,37
Chris Gruetzemacher,Davi Ramos,2017-12-09,"Fresno, California, USA",Blue,0,Lightweight,0,0,1,0,1,0,0,0,0,0,0,0,Orthodox,167.64000000000001,177.8,155,0,1,0,1,1,0,0,0,1,0,0,0,Orthodox,172.72,172.72,155,31,31
Alejandro Perez,Iuri Alcantara,2017-12-09,"Fresno, California, USA",Red,0,Bantamweight,0,2,0,9,6,0,0,1,4,2,2,0,Southpaw,175.26,180.34,135,1,1,0,4,2,0,0,1,1,2,0,0,Orthodox,167.64000000000001,170.18,145,37,28
